"SLDLST10,C,3","LTR06,N,32,10","LTD06,N,32,10","LOT06,N,32,10"
"03A",37,53,93
"03A",143,386,543
"03A",72,146,228
"03A",18,18,38
"03A",55,107,165
"03A",45,120,170
"03A",44,61,109
"03A",10,11,21
"03A",133,226,369
"03A",60,30,100
"03A",108,187,302
"03A",56,62,123
"03A",24,63,97
"03A",61,74,140
"03A",21,5,26
"03A",26,86,117
"03A",4,5,10
"03A",71,226,308
"03A",25,27,57
"03A",36,94,135
"03A",55,410,480
"03A",0,0,0
"03A",53,187,248
"03A",16,8,27
"03A",23,224,254
"03A",65,168,245
"03A",47,79,135
"03A",108,109,227
"03A",69,431,509
"03A",75,211,301
"03A",20,6,26
"03A",85,267,362
"03A",10,5,16
"03A",8,1,11
"03A",32,56,91
"03A",56,65,133
"03A",24,140,171
"03A",163,304,480
"03A",116,149,269
"03A",9,48,58
"03A",10,20,32
"03A",25,22,48
"03A",69,34,105
"03A",11,8,21
"03A",53,70,133
"03A",17,17,37
"03A",0,0,0
"03A",20,24,46
"03A",44,24,74
"03A",0,0,0
"03A",14,11,26
"03A",14,23,41
"03A",209,488,710
"03A",221,452,690
"03A",362,640,1018
"03A",36,46,84
"03A",260,343,624
"03A",40,5,45
"03A",89,150,250
"03A",66,123,193
"03A",73,130,206
"03A",80,154,239
"03A",8,3,12
"03A",119,173,299
"03A",17,27,45
"03A",7,7,15
"03A",1,2,3
"03A",31,45,83
"03A",37,43,82
"03A",43,85,138
"03A",20,26,47
"03A",31,27,60
"03A",7,9,20
"03A",20,38,58
"03A",0,0,0
"03A",24,11,35
"03A",25,18,44
"03A",0,0,0
"03A",0,0,0
"03A",119,53,177
"03A",128,69,203
"03A",0,0,0
"03A",0,0,0
"03A",0,0,0
"03A",97,60,162
"03A",152,103,263
"03A",30,14,46
"03A",0,0,0
"03A",0,0,0
"03A",0,0,0
"03A",38,38,77
"03A",41,25,71
"03A",187,84,277
"03A",33,31,66
"24A",51,12,63
"24A",55,34,89
"24A",135,67,202
"24A",350,263,614
"24A",68,31,99
"24A",309,180,491
"24A",392,179,571
"24A",277,155,433
"24A",153,54,207
"24A",88,28,116
"24A",141,111,253
"24A",78,56,134
"24A",82,74,156
"24A",52,28,80
"24A",80,37,117
"24A",19,10,29
"24A",78,43,121
"24A",77,37,114
"24A",134,34,168
"24A",56,27,83
"24A",440,132,572
"24A",581,190,772
"24A",92,40,132
"24A",409,165,574
"24A",531,220,753
