"SLDLST10,C,3","LTR06,N,32,10","LTD06,N,32,10","LOT06,N,32,10"
"25A",153,135,288
"25A",61,48,109
"25A",179,136,315
"25A",142,123,265
"25A",264,179,444
"25A",374,341,715
"25A",192,152,344
"25A",152,74,226
"25A",1037,565,1602
"25A",0,0,0
"25A",126,72,198
"25A",545,291,836
"25A",179,91,270
"25A",144,126,270
"25A",167,76,243
"25A",195,144,339
"25A",203,100,303
"25A",145,95,240
"25A",105,56,161
"25A",133,69,202
"25A",148,79,227
"34A",297,117,414
"34A",303,174,477
"34A",284,121,405
"34A",703,469,1173
"34A",127,52,179
"34A",426,214,641
"34A",144,61,205
"34A",349,151,501
"34A",649,282,931
"34A",355,191,546
"34A",85,52,137
"34A",789,405,1194
"34A",232,204,436
"34A",542,250,792
"34A",1548,618,2167
"34A",1312,681,1994
"34A",1145,615,1760
"34A",958,553,1514
"34A",429,179,608
"34A",408,219,627
"34A",283,97,380
"34A",206,192,398
"34A",328,178,508
"34A",0,0,0
"12A",243,267,510
"12A",253,358,612
"12A",494,480,974
"12A",181,319,500
"12A",342,473,816
"12A",509,576,1085
"12A",381,408,791
"12A",326,339,665
"12A",177,335,512
"12A",112,207,319
"12A",417,524,941
"12A",242,310,553
"12A",189,375,566
"12A",159,308,467
"12A",224,227,452
"12A",186,274,460
"12A",121,207,328
"12A",347,358,705
"12A",333,362,696
"12A",503,545,1049
"12A",270,249,519
"12A",11,28,39
"12A",90,153,243
"12A",636,452,1089
"12A",293,422,717
"12A",14,27,41
"12A",407,404,811
"04B",44,24,68
"04B",18,27,45
"04B",21,18,39
"04B",39,57,96
"04B",131,72,204
"04B",32,21,53
"04B",24,16,40
"04B",24,27,51
"04B",90,86,176
"04B",0,2,2
"04B",182,171,354
"04B",25,34,59
"04B",24,40,64
"04B",331,161,495
"04B",249,135,386
"04B",53,92,145
"04B",114,102,217
"04B",55,46,101
"04B",364,213,577
"04B",98,101,199
"04B",24,14,38
"04B",84,62,146
"04B",209,127,336
"04B",68,68,136
"04B",160,155,316
"04B",235,186,421
"04B",153,135,288
"04B",26,14,40
"04B",173,214,387
"04B",403,347,753
"04B",5,61,66
"04B",435,434,869
"04B",100,59,159
"04B",196,283,479
"04B",134,89,223
"04B",216,244,460
"04B",574,436,1011
"04B",56,62,118
"04B",420,296,717
"04B",312,243,556
"04B",36,62,98
"04B",138,93,231
"04B",19,28,47
"04B",248,211,459
"04B",75,91,166
"04B",138,108,246
"04B",33,11,44
"04B",424,222,646
"04B",19,17,36
"04B",27,18,45
"04B",194,229,424
"04B",163,83,246
"04B",422,469,891
"04B",45,43,89
"04B",65,60,125
"04B",85,103,190
"04B",37,57,94
"04B",69,122,192
"04B",57,116,173
"04B",135,134,269
"04B",17,40,57
"04B",95,96,191
"04B",194,206,402
"04B",109,98,207
"04B",113,95,208
"04B",269,304,573
"04B",63,48,111
"04B",149,231,380
"04B",26,31,57
"04B",117,144,261
"04B",84,94,178
"04B",307,216,523
"04B",33,36,69
"04B",19,14,33
"04B",81,132,213
"12B",376,414,791
"12B",293,274,568
"12B",108,94,202
"12B",125,114,239
"12B",374,340,714
"12B",17,15,32
"12B",171,184,356
"12B",22,57,79
"12B",182,246,428
"12B",161,172,334
"12B",165,196,361
"12B",148,109,257
"12B",52,62,115
"12B",114,158,274
"12B",122,127,249
"12B",278,285,563
"12B",236,204,442
"12B",44,66,110
"12B",28,51,79
"12B",145,121,267
"12B",96,121,217
"12B",119,81,200
"12B",133,142,275
"12B",170,112,282
"12B",25,27,52
"12B",257,190,447
"12B",49,57,106
"12B",12,18,30
"12B",177,152,329
"12B",16,28,44
"12B",472,609,1081
"12B",556,673,1230
"12B",377,488,867
"12B",90,130,220
"12B",45,49,94
"12B",124,78,202
"12B",208,376,584
"12B",52,74,126
"12B",123,152,275
"12B",74,94,168
"12B",245,210,456
"12B",62,77,139
"12B",167,136,304
"12B",25,53,78
"12B",36,22,58
"12B",142,264,407
"12B",386,314,700
"12B",180,166,346
"12B",81,84,165
"12B",142,81,223
"12B",142,157,299
"12B",89,111,200
"03B",0,31,31
"03B",0,20,20
"03B",0,694,712
"03B",0,316,325
"03B",0,137,141
"03B",0,76,76
"03B",0,19,19
"03B",0,19,19
"03B",0,476,486
"03B",0,151,156
"03B",0,211,214
"03B",0,80,82
"03B",0,290,294
"03B",0,192,201
"03B",0,22,23
"03B",0,167,168
"03B",0,59,61
"03B",0,110,112
"03B",0,17,18
"03B",0,94,95
"03B",0,212,218
"03B",0,22,22
"03B",0,10,10
"03B",0,10,10
"03B",0,58,59
"03B",0,34,35
"03B",0,111,113
"03B",0,25,25
"03B",0,75,75
"03B",0,16,16
"03B",0,156,161
"03B",0,65,66
"03B",0,443,450
"03B",0,76,77
"03B",0,37,37
"03B",0,52,53
"03B",0,34,35
"03B",0,19,19
"03B",0,494,505
"03B",0,63,67
"03B",0,221,224
"03B",0,25,25
"03B",0,79,80
"03B",0,124,128
"03B",0,150,159
"03B",0,136,140
"03B",0,16,16
"03B",0,49,50
"03B",0,90,92
"03B",0,16,16
"03B",0,16,16
"03B",0,59,60
"03B",0,23,23
"03B",0,33,36
"03B",0,215,228
"03B",0,233,239
"03B",0,583,599
"03B",0,790,805
"03B",0,0,0
"03B",0,960,1004
"03B",0,444,457
"03B",0,615,632
"03B",0,1165,1207
"03B",0,52,56
"03B",0,89,95
"03B",0,312,325
"03B",0,139,144
"03B",0,59,59
"03B",0,568,584
"03B",0,0,0
"03B",0,200,209
"04A",39,159,200
"04A",143,375,537
"04A",453,803,1287
"04A",182,467,668
"04A",328,889,1255
"04A",227,569,831
"04A",321,820,1167
"04A",220,456,698
"04A",41,51,96
"04A",669,1094,1801
"04A",68,119,191
"04A",34,41,81
"04A",86,260,355
"04A",176,413,596
"04A",36,41,78
"04A",34,75,116
"04A",89,221,322
"04A",94,197,310
"04A",13,21,38
"04A",2,24,26
"04A",14,18,32
"04A",20,15,36
"04A",16,14,33
"04A",31,61,96
"04A",0,5,8
"04A",33,162,197
"04A",108,195,322
"04A",12,21,35
"04A",13,46,64
"04A",33,72,113
"04A",37,52,93
"04A",10,9,20
"04A",93,168,272
"04A",91,123,223
"04A",12,22,41
"04A",15,14,30
"04A",78,314,401
"04A",39,61,104
"04A",38,73,117
"04A",26,54,83
"04A",65,93,171
"04A",2,2,4
"04A",14,22,38
"04A",25,19,48
"04A",27,31,61
"04A",40,53,98
"04A",12,18,33
"04A",31,66,99
"04A",0,0,0
"04A",115,204,329
"04A",96,156,262
"04A",22,37,61
"04A",36,83,124
"04A",0,0,0
"04A",0,0,0
"04A",9,16,28
"04A",28,90,126
"04A",35,97,139
"04A",12,27,45
"04A",90,113,211
"04A",43,67,114
"04A",48,38,91
"04A",13,15,31
"04A",24,57,84
"04A",11,20,35
"20A",26,56,82
"20A",17,55,72
"20A",23,35,58
"20A",0,10,10
"20A",70,82,152
"20A",22,61,83
"20A",26,78,105
"20A",64,146,210
"20A",9,11,20
"20A",31,44,75
"20A",111,235,346
"20A",17,30,47
"20A",6,6,12
"20A",14,33,47
"20A",22,23,45
"20A",27,43,70
"20A",45,34,79
"20A",314,324,638
"20A",164,151,315
"20A",41,65,106
"20A",11,19,30
"20A",27,21,48
"20A",17,36,53
"20A",37,26,63
"20A",27,14,41
"20A",35,32,68
"20A",32,63,96
"20A",50,43,93
"20A",36,72,108
"20A",41,74,115
"20A",72,88,160
"20A",105,151,256
"20A",26,30,56
"20A",33,42,75
"20A",46,64,110
"20A",40,32,73
"20A",27,64,91
"20A",45,73,119
"20A",9,15,24
"20A",376,445,822
"20A",51,75,126
"20A",21,31,52
"20A",34,46,80
"20A",49,45,94
"20A",12,29,41
"20A",25,10,35
"20A",38,21,59
"20A",42,60,102
"20A",74,86,161
"20A",39,49,88
"20A",60,18,78
"20A",62,20,82
"20A",23,22,45
"20A",155,143,298
"20A",35,41,76
"20A",33,29,62
"20A",36,65,101
"20A",12,32,44
"20A",32,58,90
"20A",69,45,115
"20A",59,39,98
"20A",146,182,328
"20A",148,171,319
"20A",46,52,98
"20A",19,42,61
"20A",35,32,67
"20A",20,58,78
"20A",41,52,93
"20A",43,40,83
"20A",47,39,86
"20A",216,253,469
"20A",40,27,68
"20A",21,28,49
"20A",19,17,36
"20A",67,48,115
"20A",24,21,45
"20A",62,51,114
"20A",44,59,103
"20A",28,32,60
"20A",62,47,109
"20A",32,54,86
"20A",187,175,364
"20A",35,78,113
"20A",157,227,386
"20A",100,150,250
"20A",26,31,57
"20A",61,64,125
"20A",244,463,708
"20A",265,486,751
"20A",56,127,183
"20A",17,85,103
"20A",36,44,80
"20A",26,39,65
"20A",14,37,51
"20A",11,34,45
"20A",27,30,57
"20A",34,44,78
"20A",28,40,68
"20A",28,22,50
"20A",32,62,94
"20A",24,38,62
"20A",56,89,145
"20A",19,55,74
"20A",8,37,45
"20A",18,32,50
"20A",78,60,138
"20A",31,31,62
"20A",27,54,81
"20A",27,39,66
"20A",15,29,44
"20A",80,122,202
"20A",28,55,84
"20A",179,205,384
"20A",193,233,426
"20A",32,42,74
"20A",24,44,68
"20A",35,61,96
"20A",39,39,78
"22B",49,28,77
"22B",11,15,26
"22B",75,57,132
"22B",36,47,83
"22B",51,36,87
"22B",40,54,94
"22B",28,41,69
"22B",101,52,153
"22B",1,5,6
"22B",59,34,93
"22B",32,35,67
"22B",37,17,54
"22B",65,25,90
"22B",87,100,187
"22B",39,37,76
"22B",80,90,170
"22B",88,78,166
"22B",65,25,90
"22B",109,38,148
"22B",594,209,804
"22B",77,37,114
"22B",27,28,55
"22B",14,21,35
"22B",31,39,70
"22B",49,59,108
"22B",49,33,82
"22B",160,181,341
"22B",56,44,100
"22B",257,267,524
"22B",337,306,643
"22B",211,253,464
"22B",221,248,469
"22B",29,56,86
"22B",134,65,199
"22B",72,38,110
"22B",37,48,86
"22B",24,35,59
"22B",46,48,94
"22B",56,52,108
"22B",63,91,154
"22B",49,69,118
"22B",68,70,138
"22B",54,57,111
"22B",122,168,291
"22B",80,81,161
"22B",57,69,126
"22B",103,140,243
"22B",280,222,502
"22B",195,210,406
"22B",157,184,341
"22B",23,50,73
"22B",41,42,83
"22B",182,198,380
"22B",174,215,389
"22B",43,81,124
"22B",71,68,139
"22B",38,69,107
"22B",94,56,150
"22B",59,49,108
"22B",31,37,68
"22B",58,54,112
"22B",123,190,315
"22B",235,223,458
"22B",70,71,141
"22B",60,93,153
"22B",357,221,578
"22B",123,158,281
"22B",90,127,220
"22B",106,144,250
"22B",317,206,523
"22B",260,251,512
"22B",154,129,284
"22B",133,202,335
"22B",109,73,182
"27B",132,77,209
"27B",105,80,185
"27B",138,135,275
"27B",117,75,192
"27B",108,114,222
"27B",31,46,77
"27B",79,81,161
"27B",566,910,1478
"27B",638,1002,1643
"27B",672,813,1486
"27B",927,1019,1947
"27B",79,68,147
"27B",323,689,1015
"27B",544,1040,1586
"27B",13,54,67
"27B",222,308,531
"27B",39,34,73
"27B",143,182,326
"27B",96,65,161
"27B",243,202,445
"27B",71,75,146
"27B",257,319,579
"27B",136,224,360
"27B",66,86,152
"27B",58,47,105
"27B",72,69,141
"27B",87,85,172
"27B",144,77,221
"27B",169,202,371
"27B",13,19,32
"27B",79,59,138
"27B",13,21,34
"27B",86,117,204
"27B",22,52,74
"27B",103,83,186
"31B",53,75,128
"31B",67,91,159
"31B",66,39,105
"31B",100,85,185
"31B",55,71,127
"31B",58,78,136
"31B",50,76,126
"31B",108,66,175
"31B",84,99,184
"31B",309,342,653
"31B",149,126,275
"31B",113,67,180
"31B",101,98,199
"31B",100,62,162
"31B",210,302,514
"31B",67,105,172
"31B",46,78,124
"31B",162,259,424
"31B",129,180,309
"31B",64,114,181
"31B",64,81,145
"31B",57,49,106
"31B",39,56,95
"31B",68,92,161
"31B",47,59,106
"31B",333,314,648
"31B",66,59,125
"31B",290,421,712
"31B",184,197,381
"31B",546,457,1005
"31B",80,61,141
"31B",13,22,35
"31B",70,70,140
"31B",75,70,145
"31B",135,134,269
"31B",68,59,127
"31B",85,88,174
"31B",268,248,517
"31B",374,372,748
"31B",185,122,307
"31B",120,117,237
"31B",149,115,264
"31B",32,19,51
"31B",597,497,1098
"31B",325,463,790
"31B",116,145,263
"31B",443,277,729
"31B",107,83,190
"31B",135,142,277
"31B",62,66,128
"31B",242,339,584
"31B",135,84,220
"31B",108,58,166
"31B",144,75,221
"31B",62,54,116
"31B",96,85,182
"18A",303,239,543
"18A",286,107,394
"18A",26,32,58
"18A",149,132,281
"18A",113,117,230
"18A",275,219,494
"18A",298,280,579
"18A",317,287,608
"18A",203,171,374
"18A",179,107,286
"18A",403,244,647
"18A",314,102,416
"18A",180,138,318
"18A",259,162,421
"18A",666,693,1362
"18A",66,53,119
"18A",798,730,1530
"18A",1061,1060,2122
"18A",322,243,565
"18A",210,108,318
"18A",150,90,240
"18A",74,57,131
"18A",94,50,144
"18A",253,97,351
"18A",90,165,255
"18A",137,96,233
"18A",642,279,921
"18A",296,143,439
"18A",13,13,26
"18A",95,110,206
"18A",342,192,534
"29A",0,0,0
"29A",115,58,174
"29A",210,101,311
"29A",102,82,184
"29A",162,133,295
"29A",119,71,190
"29A",146,107,253
"29A",394,309,704
"29A",85,34,119
"29A",268,254,522
"29A",169,58,228
"29A",652,502,1156
"29A",459,339,800
"29A",324,193,518
"29A",547,249,797
"29A",183,162,345
"29A",43,46,89
"29A",236,142,379
"29A",163,134,297
"29A",127,83,210
"29A",939,737,1677
"29A",704,427,1131
"29A",131,97,229
"29A",357,216,573
"29A",330,249,579
"29A",257,214,471
"29A",596,373,970
"29A",92,125,217
"29A",28,25,53
"29A",538,559,1098
"29A",0,0,0
"29A",333,299,633
"29A",311,185,497
"29A",1164,915,2082
"29A",28,17,45
"15B",1,0,1
"15B",87,159,246
"15B",172,327,499
"15B",147,333,481
"15B",108,233,341
"15B",0,0,0
"15B",291,519,811
"15B",173,411,584
"15B",184,351,540
"15B",465,585,1050
"15B",173,389,563
"15B",145,266,412
"15B",351,415,768
"15B",196,460,663
"15B",346,377,724
"15B",449,335,784
"15B",0,0,0
"15B",0,0,0
"15B",109,209,318
"15B",116,309,427
"15B",107,257,364
"15B",196,377,573
"14A",251,178,430
"14A",0,0,0
"14A",140,89,229
"14A",201,164,366
"14A",449,342,792
"14A",238,220,458
"14A",50,48,98
"14A",317,345,662
"14A",444,470,915
"14A",427,409,836
"14A",692,546,1238
"14A",375,416,793
"14A",274,227,501
"14A",47,44,91
"14A",45,47,93
"14A",58,38,96
"14A",92,116,208
"14A",611,637,1251
"14A",240,219,459
"14A",143,125,268
"14A",428,295,723
"14A",462,315,778
"14A",573,540,1116
"14A",786,526,1312
"14A",224,111,335
"14A",366,283,650
"14A",428,384,815
"14A",512,466,979
"14A",350,250,600
"14A",0,0,0
"16A",154,169,323
"16A",482,407,890
"16A",37,60,97
"16A",198,176,375
"16A",190,178,368
"16A",203,130,333
"16A",208,196,404
"16A",280,212,492
"16A",24,25,50
"16A",307,224,533
"16A",310,311,622
"16A",41,52,93
"16A",43,57,100
"16A",14,9,23
"16A",130,210,341
"16A",82,96,179
"16A",282,232,514
"16A",88,118,207
"16A",152,237,389
"16A",142,126,268
"16A",153,404,559
"16A",32,16,48
"16A",527,651,1179
"16A",327,283,610
"16A",345,231,578
"16A",117,184,301
"16A",107,142,249
"16A",121,138,259
"16A",40,27,67
"16A",779,844,1624
"16A",527,411,939
"16A",218,166,384
"16A",76,62,138
"16A",65,92,157
"16A",25,14,39
"16A",44,29,73
"16A",106,74,180
"16A",6,3,9
"16A",35,30,65
"16A",112,100,212
"16A",17,16,33
"16A",136,103,239
"16A",685,485,1172
"16A",23,26,49
"16A",750,528,1279
"11B",66,85,152
"11B",0,0,0
"11B",58,132,190
"11B",151,128,279
"11B",939,1256,2196
"11B",57,115,172
"11B",493,536,1031
"11B",242,403,646
"11B",44,97,141
"11B",183,255,439
"11B",29,59,88
"11B",67,74,141
"11B",194,437,632
"11B",82,173,255
"11B",72,110,182
"11B",73,172,245
"11B",73,98,171
"11B",104,119,223
"11B",90,95,185
"11B",129,246,375
"11B",101,219,320
"11B",121,195,316
"11B",91,149,240
"11B",45,124,169
"11B",145,199,344
"11B",10,39,49
"11B",93,212,307
"11B",62,148,210
"11B",76,113,191
"11B",69,110,179
"11B",116,148,264
"11B",119,163,282
"11B",66,93,159
"11B",113,209,322
"11B",48,87,135
"11B",91,206,297
"11B",45,83,129
"11B",33,117,150
"11B",118,182,300
"11B",130,201,331
"11B",441,662,1104
"11B",120,142,262
"11B",192,243,435
"11B",114,125,239
"11B",17,56,73
"11B",286,457,746
"11B",99,128,227
"11B",103,98,202
"11B",39,101,140
"11B",119,167,287
"11B",95,163,259
"11B",8,23,31
"11B",0,0,0
"11B",60,103,164
"11B",0,0,0
"11A",90,42,132
"11A",83,46,129
"11A",429,236,666
"11A",465,273,740
"11A",454,265,719
"11A",277,235,512
"11A",408,242,652
"11A",248,112,360
"11A",130,86,217
"11A",157,94,251
"11A",82,41,124
"11A",62,39,101
"11A",297,118,417
"11A",271,161,432
"11A",1575,747,2325
"11A",102,57,159
"11A",362,205,567
"11A",151,90,241
"11A",103,49,152
"11A",33,22,55
"11A",258,156,415
"11A",82,46,128
"11A",95,55,150
"11A",158,80,238
"11A",70,91,162
"11A",44,15,60
"11A",372,244,616
"11A",122,79,202
"11A",46,24,70
"11A",85,75,162
"11A",22,9,31
"11A",133,75,208
"11A",168,133,301
"11A",74,53,127
"11A",42,10,52
"11A",49,30,79
"11A",26,27,53
"11A",39,24,63
"11A",16,8,24
"11A",25,8,33
"11A",179,80,259
"11A",39,34,73
"11A",45,24,69
"11A",68,26,94
"11A",42,36,78
"11A",54,37,91
"11A",163,227,392
"11A",98,285,387
"11A",243,250,493
"11A",241,127,368
"11A",99,10,110
"11A",181,182,364
"11A",40,17,57
"11A",49,18,67
"11A",163,65,228
"11A",117,40,157
"11A",88,44,132
"11A",37,31,68
"11A",39,15,54
"11A",38,12,50
"11A",124,48,172
"11A",209,92,301
"11A",108,23,131
"11A",92,6,98
"11A",204,161,365
"11A",213,82,295
"11A",46,23,69
"11A",59,28,87
"11A",55,16,71
"11A",35,7,42
"11A",106,23,129
"11A",32,8,40
"56B",0,0,0
"56B",1921,1467,3390
"56B",64,167,231
"56B",694,1116,1811
"56B",1027,1038,2068
"56B",762,1132,1894
"56B",956,1203,2160
"56B",918,930,1850
"56B",1169,1018,2189
"56B",986,1207,2195
"56B",644,331,976
"56B",0,0,0
"56B",450,430,880
"56A",375,498,875
"56A",488,420,909
"56A",767,825,1592
"56A",1263,962,2225
"56A",419,527,946
"56A",108,88,196
"56A",199,351,552
"56A",295,457,752
"56A",543,621,1164
"56A",546,1028,1575
"56A",79,153,232
"56A",1173,883,2057
"56A",964,918,1885
"56A",777,710,1487
"56A",974,773,1749
"52B",254,297,551
"52B",442,186,630
"52B",1381,939,2321
"52B",1151,778,1929
"52B",66,73,139
"52B",657,404,1062
"52B",844,940,1784
"52B",1127,909,2037
"52B",143,297,440
"52B",846,864,1710
"52B",126,94,220
"52B",131,166,297
"52B",366,576,943
"52B",323,453,776
"52B",546,452,999
"52B",759,716,1476
"52B",552,722,1274
"52B",514,578,1093
"52B",74,119,193
"52B",761,704,1466
"52B",86,78,164
"18B",124,101,225
"18B",83,83,166
"18B",88,100,188
"18B",41,42,83
"18B",114,139,253
"18B",53,52,105
"18B",78,90,168
"18B",56,76,132
"18B",257,202,460
"18B",181,187,369
"18B",380,253,634
"18B",506,300,806
"18B",141,179,321
"18B",192,159,351
"18B",161,230,391
"18B",106,174,280
"18B",312,244,558
"18B",266,366,632
"18B",203,322,525
"18B",207,326,533
"18B",273,358,632
"18B",176,265,441
"18B",189,229,419
"18B",122,101,223
"18B",84,71,155
"18B",142,137,279
"18B",197,139,336
"18B",611,596,1207
"18B",274,286,560
"18B",713,447,1161
"18B",421,190,613
"18B",683,467,1150
"18B",455,314,769
"18B",270,158,428
"18B",241,155,397
"18B",38,31,69
"18B",422,300,722
"23A",280,863,1145
"23A",338,692,1032
"23A",88,76,164
"23A",126,89,215
"23A",80,52,133
"23A",350,309,660
"23A",310,324,635
"23A",266,413,680
"23A",343,400,746
"23A",320,230,550
"23A",299,280,579
"23A",90,52,142
"23A",42,28,70
"23A",158,113,271
"23A",206,108,314
"23A",98,139,238
"23A",87,55,142
"23A",102,98,200
"23A",178,165,343
"23A",325,374,700
"23A",173,152,325
"23A",0,0,0
"23A",95,65,160
"23A",281,147,430
"23A",163,102,265
"23A",168,304,473
"23A",176,338,514
"23A",159,154,314
"23A",145,124,270
"23A",24,16,40
"23A",540,673,1216
"23A",443,542,987
"23A",65,65,130
"23A",70,57,127
"23A",50,54,104
"23A",59,46,106
"23A",70,57,127
"23A",428,420,848
"23A",165,136,302
"23A",89,58,147
"23A",79,53,132
"23A",53,48,101
"23A",86,60,146
"23A",65,58,123
"23A",286,245,533
"23B",0,0,0
"23B",308,305,615
"23B",19,37,56
"23B",378,945,1326
"23B",322,364,688
"23B",358,558,917
"23B",689,1015,1706
"23B",217,640,863
"23B",582,807,1392
"23B",305,513,821
"23B",341,521,863
"23B",73,115,188
"23B",78,186,267
"23B",460,913,1376
"23B",113,317,430
"23B",270,203,476
"23B",185,275,463
"23B",453,558,1014
"23B",203,157,362
"23B",161,246,408
"23B",174,311,487
"23B",0,5,5
"23B",87,182,269
"23B",471,522,995
"16B",785,643,1430
"16B",1080,686,1766
"16B",417,243,661
"16B",1180,1016,2197
"16B",292,308,600
"16B",417,350,767
"16B",711,484,1196
"16B",370,239,611
"16B",102,87,189
"16B",480,346,828
"16B",545,278,823
"16B",383,251,636
"16B",592,318,910
"16B",691,501,1192
"16B",591,529,1120
"16B",365,237,602
"16B",694,476,1171
"16B",789,546,1337
"16B",0,0,0
"05A",140,605,747
"05A",30,86,116
"05A",62,403,466
"05A",95,365,461
"05A",71,361,432
"05A",24,80,104
"05A",92,401,493
"05A",47,112,159
"05A",170,784,954
"05A",100,270,370
"05A",53,269,322
"05A",32,184,217
"05A",73,252,325
"05A",24,195,219
"05A",269,889,1159
"05A",53,147,200
"05A",0,0,0
"05A",198,922,1123
"05A",15,36,51
"05A",9,82,91
"05A",3,31,34
"05A",11,45,56
"05A",9,32,41
"05A",93,580,674
"05A",152,589,741
"05A",40,175,215
"05A",12,37,49
"05A",0,0,0
"05A",39,165,204
"05A",15,59,74
"05A",0,4,4
"05A",0,0,0
"05A",0,0,0
"05A",160,399,560
"05A",0,0,0
"05A",0,0,0
"05A",45,144,189
"05A",138,745,885
"05A",158,596,757
"05A",111,546,658
"05A",182,679,862
"05A",19,108,128
"05A",135,676,811
"05A",96,307,403
"05A",65,207,272
"05A",89,289,378
"05B",47,167,214
"05B",7,31,38
"05B",78,339,419
"05B",25,69,95
"05B",69,372,441
"05B",386,1763,2150
"05B",69,199,268
"05B",26,61,87
"05B",27,51,78
"05B",29,34,63
"05B",40,169,209
"05B",41,93,134
"05B",275,400,677
"05B",383,776,1159
"05B",26,50,76
"05B",13,28,41
"05B",77,280,357
"05B",35,262,298
"05B",39,164,203
"05B",94,304,399
"05B",75,238,313
"05B",111,339,450
"05B",183,691,874
"05B",20,52,72
"05B",109,305,414
"05B",225,730,955
"05B",287,988,1275
"05B",338,1181,1520
"05B",74,255,329
"05B",33,115,148
"05B",53,180,233
"05B",38,148,186
"05B",27,113,140
"05B",25,62,87
"05B",0,0,0
"05B",3,22,25
"05B",8,11,19
"05B",229,660,890
"05B",27,61,88
"05B",26,121,147
"05B",33,108,141
"05B",0,0,0
"05B",17,74,91
"05B",0,0,0
"07B",0,742,766
"07B",0,983,1011
"07B",0,372,379
"07B",0,373,380
"07B",0,587,602
"07B",0,326,333
"07B",0,524,555
"07B",0,545,568
"07B",0,914,948
"07B",0,717,742
"07B",0,749,764
"07B",0,371,381
"07B",0,887,915
"07B",0,1164,1189
"07B",0,589,607
"07B",0,988,1023
"07A",330,733,1066
"07A",293,715,1009
"07A",160,691,856
"07A",400,819,1221
"07A",387,708,1096
"07A",458,738,1198
"07A",652,1269,1923
"07A",251,813,1067
"07A",290,558,850
"07A",590,930,1522
"07A",402,774,1177
"07A",389,633,1029
"07A",213,774,991
"07A",162,703,868
"07A",116,365,481
"21B",102,40,142
"21B",72,37,109
"21B",67,79,146
"21B",79,33,112
"21B",7,9,16
"21B",110,80,190
"21B",79,55,134
"21B",49,78,127
"21B",211,215,427
"21B",84,36,120
"21B",13,16,29
"21B",98,111,209
"21B",194,71,265
"21B",243,173,416
"21B",48,62,110
"21B",300,367,668
"21B",334,372,707
"21B",317,340,657
"21B",364,343,709
"21B",588,542,1132
"21B",360,367,727
"21B",386,361,747
"21B",429,423,852
"21B",86,30,116
"21B",105,35,140
"21B",96,86,182
"21B",346,207,553
"21B",504,260,764
"21B",225,179,405
"21B",249,203,452
"21B",118,41,159
"21B",24,37,61
"21B",58,26,84
"21B",68,39,107
"21B",43,25,68
"21B",207,149,356
"21B",44,40,84
"21B",223,123,346
"21B",85,32,117
"21B",30,24,54
"21B",14,25,40
"21B",89,58,147
"21B",46,39,85
"21B",48,41,89
"21B",53,27,80
"21B",121,141,262
"21B",30,19,49
"21B",57,40,98
"21B",54,39,93
"21B",107,87,195
"21B",93,35,128
"21B",21,17,38
"21B",29,21,50
"21B",378,439,817
"21B",95,84,180
"21B",90,55,145
"21B",90,73,163
"13B",42,71,113
"13B",257,53,310
"13B",165,178,344
"13B",164,250,415
"13B",243,295,540
"13B",55,41,96
"13B",539,590,1130
"13B",42,57,99
"13B",85,38,123
"13B",79,103,182
"13B",77,140,217
"13B",381,467,849
"13B",144,203,347
"13B",139,53,192
"13B",37,84,121
"13B",99,132,231
"13B",150,185,336
"13B",52,60,112
"13B",118,61,179
"13B",192,317,509
"13B",627,804,1432
"13B",76,85,161
"13B",157,158,315
"13B",124,82,207
"13B",105,87,192
"13B",241,323,565
"13B",147,111,258
"13B",242,271,514
"13B",196,270,468
"13B",190,220,410
"13B",239,374,613
"13B",305,403,708
"13B",396,485,881
"13B",280,376,657
"13B",246,382,628
"13B",182,288,471
"13B",255,320,576
"13B",95,107,202
"59B",80,270,381
"59B",152,895,1167
"59B",116,619,832
"59B",84,650,789
"59B",113,485,697
"59B",160,765,1096
"59B",157,441,673
"59B",92,627,771
"59B",38,596,653
"59B",320,785,1231
"59B",241,557,889
"59B",152,730,989
"59B",263,1238,1660
"59A",118,560,680
"59A",205,1161,1372
"59A",114,537,653
"59A",401,1498,1908
"59A",316,1325,1643
"59A",284,1204,1493
"59A",204,982,1193
"59A",219,1217,1440
"59A",109,495,607
"59A",199,964,1173
"59A",108,633,743
"59A",182,972,1159
"58A",112,527,682
"58A",123,680,873
"58A",85,434,553
"58A",165,772,981
"58A",152,506,705
"58A",132,557,747
"58A",323,923,1319
"58A",134,471,638
"58A",134,749,927
"58A",226,721,986
"58A",182,856,1100
"58A",63,308,407
"62B",182,706,891
"62B",324,1345,1672
"62B",387,1267,1659
"62B",271,1333,1608
"62B",472,1782,2258
"62B",358,1220,1580
"62B",336,1443,1782
"62B",236,920,1158
"62B",148,1075,1225
"62B",151,837,991
"62B",215,925,1143
"62B",217,771,991
"62B",227,1012,1242
"60B",347,1255,1607
"60B",163,554,720
"60B",280,1647,1935
"60B",158,970,1132
"60B",189,960,1155
"60B",193,1253,1450
"60B",148,990,1141
"60B",320,961,1283
"60B",322,1530,1855
"60B",291,1162,1455
"60B",402,1628,2034
"60B",540,1855,2398
"60B",172,687,859
"61B",107,1164,1273
"61B",156,1218,1379
"61B",112,969,1084
"61B",97,898,1000
"61B",206,1410,1622
"61B",61,486,550
"61B",31,254,285
"61B",49,462,513
"61B",73,847,928
"61B",54,459,515
"61B",65,548,614
"61B",75,738,815
