District,pvi06,pvi08,pvi10,pvi,rpvi
39B,-2.74623712701,-0.757805395574,9.22801096815,1.90798948185,GOP + 2
25A,14.5691649723,7.78194345932,20.4973784894,14.2828289737,GOP + 14
21A,-1.91949744067,4.20353982301,26.4198721814,9.56797152123,GOP + 10
25B,0.260698162396,-17.3124444005,-3.49827081671,-6.85000568494,DFL + 7
21B,16.141327364,3.94470667566,27.038264146,15.7080993952,GOP + 16
37A,-9.00792697574,-19.7694953063,-5.72025845686,-11.499226913,DFL + 11
37B,-4.75747845192,5.02766984576,11.8794607454,4.04988404643,GOP + 4
42A,-6.50551589877,-9.89408649603,0.996602491506,-5.1343333011,DFL + 5
31B,15.0345831817,23.3387435555,35.7528494301,24.7087253891,GOP + 25
38B,12.9072887575,13.7235204193,18.4487316497,15.0265136088,GOP + 15
38A,0.85910652921,7.83114102172,20.6994867896,9.7965781135,GOP + 10
39A,7.70272766455,23.8246569814,27.4747347938,19.6673731466,GOP + 20
32B,-0.598054679285,-6.20437956204,18.1880490996,3.79520495277,GOP + 4
32A,-1.63342115167,4.78092131166,11.7651419675,4.97088070917,GOP + 5
11B,-10.2698750332,-7.08570830937,8.20683111954,-3.04958407435,DFL + 3
08A,16.2723097494,15.449907445,31.7380352645,21.1534174863,GOP + 21
04B,-49.528270766,-46.2995367988,-22.6136529747,-39.4804868465,DFL + 39
02B,-15.7949548716,-9.33320171759,6.98332809059,-6.04827616618,DFL + 6
01B,-18.8993201683,-16.4390756303,0.962574527692,-11.4586070903,DFL + 11
08B,5.55717875299,8.65626572723,27.8506254154,14.0213566319,GOP + 14
09A,-1.144036009,1.31406044678,19.5976936181,6.58923935197,GOP + 7
02A,-6.25269247338,-8.45524296675,4.60379286125,-3.3680475263,DFL + 3
01A,-8.40053763441,-7.27524063076,15.1305441963,-0.181744689627,EVEN
10A,-4.34914289176,-21.4237999809,-6.84142830894,-10.8714570605,DFL + 11
05B,-54.6641791045,-8.23840023468,2.4513847967,-20.1503981808,DFL + 20
10B,-38.8921661161,-14.3011576055,2.71588515686,-16.8258128549,DFL + 17
05A,-30.9778729479,-6.73642903859,-4.70477217579,-14.1396913874,DFL + 14
11A,-39.8772613949,-31.7639455106,-20.7295965917,-30.7902678324,DFL + 31
06A,-53.0388294879,-39.0395295655,-34.2486063338,-42.1089884624,DFL + 42
06B,-57.6985869504,-54.2290871871,-39.7814695061,-50.5697145479,DFL + 51
28B,-0.976013234078,1.59059474412,22.7683545871,7.79431203238,GOP + 8
28A,-35.1441619522,-32.6449166916,-12.94160852,-26.9102290546,DFL + 27
07B,-83.2133083681,-48.3295476055,-40.3369888881,-57.2932816206,DFL + 57
03B,-56.0063694268,-32.6131734334,-23.1396083386,-37.2530503996,DFL + 37
07A,-41.6753413753,-35.5854126679,-30.8898847631,-36.0502129355,DFL + 36
03A,-70.9948238859,-40.2970345882,-29.0646258503,-46.7854947748,DFL + 47
04A,16.2058871361,17.3985309099,18.7618746042,17.4554308834,GOP + 17
22B,2.20320582413,16.1536305018,36.3160771453,18.2243044904,GOP + 18
23A,27.9232592756,23.5517158627,31.782399248,27.7524581288,GOP + 28
22A,12.1986058736,15.4459861249,14.9683175999,14.2043031995,GOP + 14
16A,6.20437956204,13.5811836115,14.06085353,11.2821389012,GOP + 11
12A,-1.24214077595,10.3596349973,12.2703560898,7.12928343706,GOP + 7
16B,11.835860632,8.8357432331,72.7944340841,31.1553459831,GOP + 31
17A,-12.887613259,-24.3145141512,-0.408511676117,-12.5368796954,DFL + 13
17B,-9.50873561819,-10.0520885505,13.4502923977,-2.03684392369,DFL + 2
12B,44.0788273219,22.8979243102,83.4116955627,50.1294823983,GOP + 50
18A,4.13251961639,17.1622326552,47.4240940255,22.906282099,GOP + 23
13A,-10.4888831934,-30.2731447909,-8.54067742957,-16.434235138,DFL + 16
23B,8.65110321942,3.60752454181,37.6599283521,16.6395187044,GOP + 17
27A,0.557443193884,-11.5062859279,5.04251650116,-1.96877541096,DFL + 2
27B,-15.2598803872,-33.8881909548,-17.6360225141,-22.2613646187,DFL + 22
26A,-6.30376635582,-24.4763971785,-10.2376461713,-13.6726032352,DFL + 14
26B,0.333512000476,-5.7762578469,6.5720230082,0.376425720591,EVEN
19A,-12.7513227513,-30.804907872,-15.8889923202,-19.8150743145,DFL + 20
19B,-17.6344617412,-26.5458172005,-6.92208032574,-17.0341197558,DFL + 17
18B,17.8914967295,21.5137590996,61.7206522541,33.7086360277,GOP + 34
20A,16.699410609,20.2121358962,14.0938195991,17.0017887014,GOP + 17
24A,12.9429317419,-13.9056175338,-24.6303201749,-8.53100198893,DFL + 9
20B,-3.84615384615,-10.5208085612,-9.04856103631,-7.80517448123,DFL + 8
47A,31.4473870557,35.2690771495,27.3758099352,31.3640913801,GOP + 31
47B,25.5902017632,28.3183535235,78.1502423263,44.0195992044,GOP + 44
33A,55.2634613167,32.2637079324,41.6256575598,43.0509422697,GOP + 43
34A,24.7163995068,28.3683886298,35.7620089851,29.6155990406,GOP + 30
34B,7.0203091846,8.92347230154,15.7211716722,10.5549843861,GOP + 11
40A,-27.6522073675,-32.1785389905,-18.1472884575,-25.9926782718,DFL + 26
36B,-9.04654654655,-8.34818368746,-5.09125840538,-7.49532954646,DFL + 7
36A,-7.98802793482,-18.8562439742,-1.89859762675,-9.58095651193,DFL + 10
35A,20.6096098215,29.5436476387,35.5493602116,28.5675392239,GOP + 29
35B,22.2873900293,12.5107539054,30.4249126892,21.7410188746,GOP + 22
31A,12.7246165084,20.428907168,32.8728191363,22.0087809376,GOP + 22
15A,2.42766877286,-0.236003012804,10.5525302165,4.24806532552,GOP + 4
24B,-0.641299700727,-13.4295663896,1.61254365758,-4.15277414424,DFL + 4
58A,23.0310192024,26.0405827263,30.7816143,26.6177387429,GOP + 27
56B,0.578355252733,1.78614676677,16.0251046025,6.12986887401,GOP + 6
50B,-34.4133198335,-32.454881496,-20.2272994936,-29.0318336077,DFL + 29
57A,21.0444444444,2.00511303825,16.6666666667,13.2387413831,GOP + 13
51A,-2.36821575839,-7.45351925631,4.27409988386,-1.84921171028,DFL + 2
51B,1.18141542656,-2.52234711036,4.26250509521,0.973857803801,GOP + 1
57B,75.830531271,-2.68879955043,19.9018569118,31.0145295441,GOP + 31
50A,-29.029132485,-35.980527144,-24.9795417349,-29.9964004546,DFL + 30
61B,-60.9689813513,-59.5516493728,-56.29795715,-58.9395292914,DFL + 59
