District,pvi,rpvi,incumb1,i1party,incumb2,i2party
2,1.072796935,R+1,Rod Skoe,DFL,,
5,2.50877193,R+3,John J. Carlson,R,Tom Saxhaug,DFL
10,-2.547770701,D+3,Paul Gazelka,R,,
11,0.753846154,R+1,Tony Lourey,DFL,,
19,9.768292683,R+10,Kathy Sheran,DFL,,
36,-3.93877551,D+4,Benjamin Kruse,R,,
37,-1.347826087,D+1,Pam Wolf,R,,
44,1.406779661,R+1,Terri E. Bonoff,DFL,,
49,-9.133333333,D+9,Geoff Michel,R,,
51,-3.395348837,D+3,Ted Daley,R,,
54,10.72727273,R+11,Katie Sieben,DFL,,
