"DISTRICT,C,12","MEANp08,N,24,16","MEANleg08,N,24,16","MEANsen08,N,24,16","MEANg10,N,24,16","MEANleg10,N,24,16","MEANpvi,N,24,16"
56B,-1.0903725162,5.8478471093,11.4415526385,12.9344629884,18.3631848227,9.4993350086
50B,-14.8226680481,-25.4444484796,-2.4383898465,-4.373955276,-13.9381354516,-12.2035194203
57A,-1.1334690555,5.8379305893,11.7999949719,11.4294496798,21.1915304926,9.8250873356
51A,-12.5258377529,-12.6429541274,1.1165551365,0.0852149773,-1.4180780577,-5.0770199648
51B,-6.43108296,-4.8114439961,10.1777330597,7.1752332075,6.147907076,2.4516692774
57B,-0.5361611936,-2.1978004929,12.8269337784,12.8006854287,16.6710746473,7.9129464336
50A,-26.6616172273,-33.5920939816,-14.7771740554,-18.2052715101,-24.2840982371,-23.5040510023
61B,-59.037128975,-56.6214770544,-42.2644749982,-48.7422748606,-55.5553125185,-52.4441336813
61A,-59.0249092189,-53.1193260015,-41.3669164514,-46.33504854,-51.090831171,-50.1874062766
62B,-73.1117026519,-60.9378699103,-59.815450343,-65.496873033,-70.5341283155,-65.9792048507
62A,-73.6897418302,-67.2698684027,-61.5739632394,-67.450173616,-65.5495244844,-67.1066543145
63B,-45.4854360576,-49.5073854471,-31.5216581372,-38.1337601948,-44.3133532945,-41.7923186262
63A,-65.3184645053,-62.3058912887,-52.3041371619,-60.7656059498,-64.0817476682,-60.9551693148
55B,17.2564316563,21.2918701575,23.8228855027,31.2450611003,35.3365691369,25.7905635108
55A,5.576300893,16.157447916,16.2491467252,21.1904214168,37.1353095078,19.2617252918
56A,2.5916575841,5.0319051129,14.2485732574,16.9736682874,18.286165116,11.4263938716
33B,5.2822204123,20.4095563702,20.516764861,22.3432548307,39.0036149854,21.5110822919
48B,-1.8862497234,11.7724741598,15.752418733,16.3754263631,32.0473660678,14.81228712
48A,-8.6672322869,-5.7103698155,8.5240544051,7.7342789967,11.5242701086,2.6810002816
44B,-12.0517624589,-5.2936397967,4.9716438597,2.8488137243,2.6356562632,-1.3778576817
44A,-3.0592154258,9.0121269446,13.4230952505,14.0081073886,17.0193810181,10.0806990352
49B,-8.9800924532,-6.7769736564,8.6516378725,5.2268490178,3.742574569,0.3727990699
49A,-24.4188377454,-15.585967022,-5.0872738478,-9.6495031655,-13.6784045288,-13.6839972619
46B,-30.6572466884,-26.4922675156,-12.9439130884,-15.9834707399,-21.6255868544,-21.5404969774
46A,-32.3695132534,-28.9760854945,-16.7760744346,-20.3963782923,-23.1871446324,-24.3410392214
45B,-37.1440261854,-36.1192149734,-24.6095709333,-27.2239402241,-30.1213636063,-31.0436231845
45A,-21.3199221428,-19.2211708121,-9.7265261751,23.5228003009,23.1217158334,-0.7246205991
14A,0.6667327968,-5.4447783093,7.4417505426,6.260044962,14.0662019298,4.5979903844
29A,20.1405743573,20.5370009206,21.8657273715,27.7719689297,36.6446788253,25.3919900809
29B,18.8959870342,14.7944765434,22.3996354881,27.4891301602,31.4747619266,23.0107982305
14B,-1.5221080259,-13.0864930974,3.4548732056,5.9651800735,11.8871155473,1.3397135406
13B,11.8903321303,1.4004712965,15.2620493861,16.3353646546,18.4662116803,12.6708858296
09B,18.1447137159,0.1022947639,12.1840516623,17.8806938678,13.8382498495,12.4300007719
15B,22.1136072613,10.145963769,18.9597683829,25.4422514518,22.5219460228,19.8367073776
30B,19.7886163297,24.5269813657,24.6667021714,30.3745271837,38.2538442962,27.5221342693
30A,19.4248175175,22.588019651,22.3717122793,27.8400605721,36.5660744497,25.7581368939
59B,-64.348140049,-59.6691387949,-48.7014346972,-53.2674386971,-55.8857098555,-56.3743724187
59A,-60.2445052694,-60.7108293724,-48.1251281857,-50.6156425513,-54.9809342976,-54.9354079353
40B,-33.0162860081,-34.6372649304,-23.0568923445,-23.0411580933,-24.0057970164,-27.5514796785
60B,-62.2377515679,-52.0380801866,-46.5368385737,-55.2646224081,-51.4501667786,-53.505491903
60A,-50.5261139527,-49.0857559415,-38.2328781155,-43.8101758988,-47.2871053381,-45.7884058493
41B,-27.1360244962,-29.1497241341,-16.6025573993,-21.7514814055,-24.514626032,-23.8308826934
41A,-20.7866251783,-26.5769572423,-12.0377829047,-14.4462183427,-16.3011932194,-18.0297553775
64B,-46.492830473,-46.4739282293,-27.9196538937,-36.9998331828,-43.5899428005,-40.2952377159
64A,-58.4557161876,-55.1060490124,-40.7724517405,-50.2734432652,-56.3707219673,-52.1956764346
52B,-11.6677424904,-24.1813503479,-0.1502320632,0.0027034725,-10.4039623408,-9.280116754
52A,-27.8616675875,-32.8300982822,-14.0640163418,-17.8146638014,-26.5011474849,-23.8143186996
65B,-52.3710010517,-49.6048689259,-36.8355614966,-43.8400614996,-47.3787729479,-46.0060531843
66A,-36.5196636353,-34.6888014373,-20.0712716647,-29.6470029774,-34.5164756997,-31.0886430829
65A,-62.6903160206,-59.0260037549,-46.6443648563,-55.8143128456,-58.3768614515,-56.5103717858
66B,-53.4868227623,-52.5346852225,-37.2074599899,-43.995053209,-47.5760698141,-46.9600181996
42B,-10.8011263527,-12.2943183793,4.8591503783,-1.615242124,-7.0132168103,-5.3729506576
58B,6.257298197,7.3975612371,12.0188624993,17.3367384039,27.0765398512,14.0174000377
54A,-8.0141418016,-9.8182043521,1.9934197422,2.7128750558,6.1928883908,-1.386632593
54B,-5.5568418153,4.8891061739,5.248769429,39.6211789405,52.4057698185,19.3215965093
67B,-45.7656742636,-45.9270671028,-32.2089445682,-36.1080800967,-40.6175247147,-40.1254581492
53A,-22.0398031327,-29.317202834,-8.0478910628,-11.4052263943,-18.2954738705,-17.8211194589
67A,-45.5901800416,-50.8241673154,-31.7655230759,-34.0539711702,-40.8743230011,-40.6216329208
43A,-18.4289544811,-18.5983249165,-4.3662649728,-7.1127786436,-9.7291214422,-11.6470888913
43B,-17.7652443907,-27.3517331714,-4.4753585963,-6.1005146805,-14.9573321932,-14.1300366064
53B,-2.3848211636,-0.9608536776,14.4953435674,12.299777279,13.2324623452,7.3363816701
