XdistrictXZXgeomX
X67XZX{"type":"Polygon","coordinates":[[[-93.091,44.8907],[-93.091,44.992],[-93.0043,44.992],[-93.0043,44.8907],[-93.091,44.8907]]]}X
X10XZX{"type":"Polygon","coordinates":[[[-94.3957,46.154],[-94.3957,47.0304],[-93.0537,47.0304],[-93.0537,46.154],[-94.3957,46.154]]]}X
X05XZX{"type":"Polygon","coordinates":[[[-94.9491,46.7113],[-94.9491,47.8475],[-93.19,47.8475],[-93.19,46.7113],[-94.9491,46.7113]]]}X
X11XZX{"type":"Polygon","coordinates":[[[-93.3897,45.7298],[-93.3897,46.9421],[-92.2916,46.9421],[-92.2916,45.7298],[-93.3897,45.7298]]]}X
X06XZX{"type":"Polygon","coordinates":[[[-93.7763,46.766],[-93.7763,47.899],[-92.0469,47.899],[-92.0469,46.766],[-93.7763,46.766]]]}X
X28XZX{"type":"Polygon","coordinates":[[[-92.4496,43.5004],[-92.4496,44.1292],[-91.2173,44.1292],[-91.2173,43.5004],[-92.4496,43.5004]]]}X
X53XZX{"type":"Polygon","coordinates":[[[-93.0051,44.8619],[-93.0051,44.9876],[-92.8624,44.9876],[-92.8624,44.8619],[-93.0051,44.8619]]]}X
X43XZX{"type":"Polygon","coordinates":[[[-93.106,44.9632],[-93.106,45.0968],[-92.9438,45.0968],[-92.9438,44.9632],[-93.106,44.9632]]]}X
X25XZX{"type":"Polygon","coordinates":[[[-92.9253,43.9353],[-92.9253,44.1965],[-92.4288,44.1965],[-92.4288,43.9353],[-92.9253,43.9353]]]}X
X21XZX{"type":"Polygon","coordinates":[[[-93.0412,43.9336],[-93.0412,44.7143],[-91.6897,44.7143],[-91.6897,43.9336],[-93.0412,43.9336]]]}X
X37XZX{"type":"Polygon","coordinates":[[[-93.3063,45.1075],[-93.3063,45.212],[-93.1628,45.212],[-93.1628,45.1075],[-93.3063,45.1075]]]}X
