"STATEFP10,C,2","SLDLST10,C,3","GEOID10,C,5","SUMltr06,N,24,16","SUMtd06,N,24,16","SUMlot06,N,24,16","leg06pvi,N,24,16","SUMltr08,N,24,16","SUMltd08,N,24,16","SUMlot08,N,24,16","leg08pvi,N,24,16","SUMltr10,N,24,16","SUMltd10,N,24,16","SUMlot10,N,24,16","leg10pvi,N,24,16","pvi,N,24,16"
"27","27B","2727B",7040,13352,20796,-30.3519907675,9583,15011,24630,-22.0381648396,9683,8743,18720,5.0213675214,-15.7895960286
"27","31B","2731B",7574,8545,19926,-4.8730302118,11907,11888,23854,0.0796512115,5773,9625,17812,-21.6258701999,-8.8064164
"27","18A","2718A",12432,7514,19962,24.6368099389,15950,9327,25309,26.1685566399,1479,15280,17048,-80.9537775692,-10.0494703301
"27","29A","2729A",17249,11512,31481,18.22369048,21689,20046,41795,3.9310922359,13073,17886,30985,-15.5333225754,2.2071533801
"27","15B","2715B",9077,10673,19774,-8.0712046121,13465,16502,30066,-10.1011108894,9057,11912,21006,-13.591354851,-10.5878901175
"27","14A","2714A",15157,13016,28219,7.5870867146,20064,19680,39799,0.964848363,11588,16685,28306,-18.0067830142,-3.1516159789
"27","16A","2716A",15727,12600,28463,10.9861926009,19723,17193,37048,6.8289786223,11468,16795,28376,-18.7729066817,-0.3192451528
"27","11B","2711B",15457,13770,29266,5.7643682088,18927,16246,35644,7.5216025137,8252,15665,27002,-27.4535219613,-4.7225170796
"27","11A","2711A",13694,11497,25221,8.7109948059,18413,10764,30267,25.2717481085,7430,14474,23598,-29.8499872871,1.3775852091
"27","26B","2726B",10266,9714,20065,2.7510590581,11301,13770,25119,-9.8292129464,9416,9743,19194,-1.7036573929,-2.9272704271
"27","26A","2726A",11772,8072,19875,18.6163522013,11196,13813,25042,-10.4504432553,11101,8082,19298,15.6441081977,7.9366723812
"27","24B","2724B",15577,12645,28315,10.3549355465,16740,17277,34066,-1.5763517877,8568,15485,26324,-26.2764017627,-5.8326060013
"27","56B","2756B",15775,19555,35358,-10.6906499236,19893,24477,44446,-10.3136390226,16060,17441,33741,-4.0929433034,-8.3657440832
"27","56A","2756A",19804,22868,42699,-7.1758120799,24957,26811,51832,-3.5769408859,18490,21862,41397,-8.1455177911,-6.2994235857
"27","52B","2752B",20248,22279,42565,-4.7715259016,28383,23744,52183,8.8898683479,17183,24084,41618,-16.5817675044,-4.1544750194
"27","18B","2718B",17545,11121,28681,22.3981032739,19383,15489,34914,11.1531190926,9340,17542,26959,-30.4239771505,1.042415072
"27","23A","2723A",13036,14644,27931,-5.7570441445,13666,20385,34113,-19.696303462,11960,12746,24947,-3.1506794404,-9.5346756823
"27","23B","2723B",9902,13091,23048,-13.8363415481,11469,18899,30451,-24.3998555056,10424,9444,20273,4.8340156859,-11.1340604559
