District,pvi06,pvi08,pvi10,pvi,rpvi
22B,3.09849749583,20.8207317796,38.3595959596,20.7596084117,GOP + 21
22A,11.607955284,10.9559491371,13.4658664666,12.0099236293,GOP + 12
06A,-97.1683838893,-43.983203997,-31.8143762708,-57.6553213857,DFL + 58
63A,-49.4872261666,-48.6426216793,-41.3212518476,-46.4836998978,DFL + 46
63B,-20.3847056064,-32.2826341692,-21.3289036545,-24.6654144767,DFL + 25
06B,-44.8476487524,-30.7665198238,-21.2509974833,-32.2883886865,DFL + 32
56A,-1.34095405584,-5.5932651622,4.91518994201,-0.673009758674,DFL + 1
56B,-2.28059458359,-11.663149008,3.65065210122,-3.4310304968,DFL + 3
46A,-27.3747749656,-32.3119579127,-17.4130510643,-25.6999279809,DFL + 26
46B,-32.4281709881,-34.3067068576,-20.6919685643,-29.1422821367,DFL + 29
18B,5.91959859029,17.4627606753,28.8921581169,17.4248391275,GOP + 17
18A,13.8527566854,26.679689508,97.7178926924,46.0834462953,GOP + 46
65B,-55.5055430524,-50.6922445148,-50.2107164359,-52.1361680011,DFL + 52
65A,-61.0022087245,-59.7946151191,-59.0881084412,-59.9616440949,DFL + 60
50B,-7.46907706946,-13.1403748997,-4.88349033218,-8.49764743377,DFL + 8
39A,-29.8941033505,-20.8677198774,-16.7750245339,-22.5122825872,DFL + 23
50A,-31.6873030991,-25.8833971265,-19.5209208275,-25.6972070177,DFL + 26
25B,-0.323624595469,-6.80869014976,0.208063881235,-2.30808362133,DFL + 2
25A,14.8509452254,19.4568205517,2.06362854686,12.123798108,GOP + 12
05A,-60.7785553612,-57.0163023536,-42.7224221367,-53.5057599505,DFL + 54
05B,-52.7684616845,-39.8960798436,-33.1509043583,-41.9384819621,DFL + 42
62B,-61.0549450549,-58.6330935252,-54.6456050361,-58.1112145388,DFL + 58
62A,-67.7886034839,-67.0450135817,-68.1606555342,-67.6647575333,DFL + 68
45A,-14.7180101091,-17.3581623779,-7.83386674425,-13.3033464104,DFL + 13
45B,-29.2584434655,-30.1862089031,-21.8232222294,-27.0892915327,DFL + 27
33A,96.4967724583,24.7877916415,34.5147828131,51.9331156377,GOP + 52
33B,10.9860044197,18.4133291191,27.9991195245,19.1328176878,GOP + 19
47B,-11.86042307,-9.70423095628,-7.73377951292,-9.76614451306,DFL + 10
47A,-7.98802793482,-18.8562439742,-1.89859762675,-9.58095651193,DFL + 10
