District,pvi06,pvi08,pvi10,pvi,rpvi
15,6.38169170279,7.56206238065,19.0785944206,11.0074495013,GOP + 11
24,6.61354581673,-13.6829383637,-12.4573437662,-6.50891210438,DFL + 7
56,3.66699281065,3.65954208156,16.9829640745,8.10316632224,GOP + 8
51,-0.610373537354,-5.06703216687,4.268310412,-0.469698430742,EVEN
57,49.7603101868,-0.515296411494,18.4650196832,22.5700111528,GOP + 23
50,-31.9071529511,-34.1095289746,-22.4293749605,-29.4820189621,DFL + 29
61,-61.8270090094,-60.5695018321,-57.4942510916,-59.9635873111,DFL + 60
62,-77.460723074,-64.3557537796,-72.8755280479,-71.5640016338,DFL + 72
63,-62.0174987133,-60.9587916598,-59.2133195851,-60.7298699861,DFL + 61
59,-55.6656119595,-63.3695144725,-57.5178302848,-58.8509855722,DFL + 59
60,-60.9416035841,-51.9281126823,-53.6904468033,-55.5200543565,DFL + 56
41,-24.0595511349,-23.0322371538,-14.9114820435,-20.6677567774,DFL + 21
64,-46.8895675936,-50.593962999,-48.4966528163,-48.6600611363,DFL + 49
52,-36.6141385685,-34.1872465905,-21.5758742779,-30.7924198123,DFL + 31
65,-57.2259315098,-55.4361979167,-55.1599137338,-55.9406810534,DFL + 56
66,-42.3421635744,-36.949544229,-35.8376757799,-38.3764611944,DFL + 38
42,-8.10631052464,-16.1838900487,-6.58140985652,-10.29053681,DFL + 10
58,17.5853183332,18.9699531379,32.0057028454,22.8536581055,GOP + 23
54,-4.65233721554,-0.426245545385,18.1865725306,4.36932992321,GOP + 4
67,-50.5865030675,-50.2547087606,-42.3956546598,-47.7456221626,DFL + 48
53,-7.43097771023,-14.6929488163,-0.0914603163849,-7.40512894763,DFL + 7
43,-23.5197515751,-20.1291761535,-9.06972981718,-17.5728858486,DFL + 18
25,7.06568856285,-4.92094466126,8.12006861063,3.42160417074,GOP + 3
21,6.93336496545,4.0769701823,26.7175333813,12.5759561763,GOP + 13
37,-7.24215404058,-8.83025140245,2.09536554444,-4.65901329953,DFL + 5
31,13.9864775288,22.0343447113,34.5093226983,23.5100483128,GOP + 24
32,-1.08066383636,-1.07213243989,15.2549258582,4.36737652732,GOP + 4
38,7.44766867308,11.0047284105,19.5071807401,12.6531926079,GOP + 13
39,2.07812144644,10.5971992451,17.5583894541,10.0779033819,GOP + 10
04,-20.0837734475,-15.1020193797,-2.75138709432,-12.6457266405,DFL + 13
08,10.9284840007,12.075626051,29.8245092207,17.6095397575,GOP + 18
09,-3.54662698413,1.44288372804,17.2321605386,5.04280576086,GOP + 5
02,-11.1710851997,-8.9020622441,5.80238306503,-4.75692145958,DFL + 5
01,-13.4976267564,-11.7987140931,8.5155621143,-5.59359291173,DFL + 6
10,-21.8493171154,-17.7599110267,-1.82431842649,-13.8111821895,DFL + 14
05,-42.4488839809,-7.49814034218,-0.886625165063,-16.9445498294,DFL + 17
11,-25.3625313651,-19.7364732268,-6.39062395057,-17.1632095141,DFL + 17
06,-55.3682492331,-46.6461638825,-37.1005747126,-46.3716626094,DFL + 46
28,-16.2561726513,-14.8528847997,6.43622560382,-8.22427728241,DFL + 8
07,-60.7638084522,-41.6268479261,-35.3159345333,-45.9021969705,DFL + 46
03,-63.5343351722,-36.3109654747,-26.2623244697,-42.0358750388,DFL + 42
22,7.47866469648,15.7779823754,24.6383475401,15.964998204,GOP + 16
16,9.11374237531,11.1955127399,42.1753759528,20.828210356,GOP + 21
12,19.4533940673,16.2639339219,43.2603686636,26.3258988843,GOP + 26
17,-11.2644753772,-17.2577007905,6.33877729804,-7.39446628991,DFL + 7
13,-2.23450817784,-11.0601327606,5.55086034955,-2.58126019631,DFL + 3
23,18.5496658738,13.6170930289,34.596067863,22.2542755886,GOP + 22
27,-6.76080445015,-22.0636527493,-5.41527813381,-11.4132451111,DFL + 11
26,-2.66457680251,-14.4408688656,-0.956177991013,-6.02054121972,DFL + 6
19,-14.6612544699,-29.0238696857,-12.4276630707,-18.7042624088,DFL + 19
18,10.6741059179,19.2456001582,54.1360676181,28.0185912314,GOP + 28
20,5.68870074894,3.89413606748,2.02070641499,3.8678477438,GOP + 4
47,28.2564548883,31.4629449107,52.7972499326,37.5055499105,GOP + 38
33,42.877739331,25.8641594034,41.0045262082,36.5821416475,GOP + 37
55,15.15411627,16.4893471542,32.5804038893,21.4079557712,GOP + 21
48,9.74422103679,1.38217752819,19.3600544634,10.1621510095,GOP + 10
44,11.2013605841,3.9138411361,11.0400793998,8.71842704001,GOP + 9
49,11.4449737389,-1.07440987339,3.58962940973,4.6533977584,GOP + 5
46,-36.1727704781,-32.4743568186,-26.3657542225,-31.6709605064,DFL + 32
45,-22.5554486899,-23.7407432882,-15.7046476762,-20.6669465514,DFL + 21
40,-30.1517443726,-33.2599400089,-19.4807151466,-27.6307998427,DFL + 28
14,-13.6522029691,-10.4733962898,13.5014447071,-3.54138485061,DFL + 4
29,17.5758771497,13.9601139601,30.5740022355,20.7033311151,GOP + 21
30,14.874460142,21.1526772393,34.3662074762,23.4644482858,GOP + 23
34,15.7939782974,19.0269331017,26.0940853804,20.3049989265,GOP + 20
36,-8.53347948032,-13.3270821312,-3.58739837398,-8.48265332849,DFL + 8
35,21.5173887702,20.3579800742,32.7248227405,24.8667305283,GOP + 25
